fold,auc,pr_auc,rmse,mae,r2,se,competition_score
1,0.7959793301614613,0.43244004631238914,1483427.6882808777,931345.1500173423,-0.19864043845354007,2200557706358.3486,0.4149850612624428
2,0.7777127332597086,0.41186479878210513,1512282.8846269427,947606.5004786619,-0.20539204965252789,2286999523135.587,0.4058295337166785
3,0.7932044869697671,0.43500193208498983,1500267.5564719443,940306.1075061198,-0.20437781943270883,2250802741002.299,0.4135846077506785
4,0.7991507324057783,0.43264712414266837,1487979.0781777503,934678.0495629727,-0.20430577938722028,2214081737094.7075,0.4165672236791966
5,0.7950282891673431,0.416182147088361,1477333.6720375137,932345.2423622181,-0.20735413876913622,2182514778535.844,0.4145142982231624
