fold,auc,pr_auc,rmse,mae,r2,se,competition_score
1,0.7946680555799396,0.43655397074639657,1484488.239830918,934650.3358402923,-0.2003549465534029,2203705334196.297,0.4143285982918433
2,0.7772888089919039,0.41161499993476575,1512647.5960651685,948231.4889118572,-0.20597351927476248,2288102749881.733,0.40561729371215105
3,0.7926350702090944,0.42682939344274606,1500182.9688379248,942042.2681445892,-0.20424201352553428,2250548939991.3696,0.4132999644145101
4,0.8010001088464738,0.43069703142087845,1488286.6912498374,936478.9833596954,-0.2048037682352828,2214997275351.389,0.41749167317411795
5,0.7945017560460474,0.41662428756019376,1477816.988335116,933375.9235605955,-0.2081442505714397,2183943051011.8723,0.4142506535353862
