fold,auc,pr_auc,rmse,mae,r2,se,competition_score
1,0.7951679083005124,0.43266494950678874,1483910.5938363941,931029.4100647073,-0.199420960949779,2201990650499.88,0.4145789742884482
2,0.7788099306657319,0.41092968919512685,1511647.307080369,947046.5029368888,-0.20437906572197728,2285077581003.331,0.4063786168429037
3,0.793500150170708,0.429009369182602,1499705.48038045,939990.7686705177,-0.20347554681568325,2249116527883.156,0.4137328716410724
4,0.7991327212772401,0.4310988209483042,1486682.5199054086,934566.6016965165,-0.2022079376182453,2210224914992.296,0.416559224935159
5,0.7944069442178976,0.4134170939424755,1477255.0295609569,933034.8664031895,-0.20722560072232077,2182282422363.1433,0.4142036872884267
