feature,importance_mean,importance_std
fin_asset_trend_score,0.12544138180754388,0.006014899698507197
card_loan_amt,0.09967384263294936,0.0021287129570169818
total_deposit_balance,0.056670776218823216,0.0022912581083053265
credit_score,0.027355816627686734,0.0034172631761915507
card_cash_service_amt,0.013895195816053807,0.000671653151649408
monthly_count_std,0.0008370652495624853,0.0007139469575780663
recent_3m_amount_ratio,0.0007907587160607355,0.0004978156546314382
cat_ratio_Electronics,0.0005804807396320832,0.0002948267639201915
recent_3m_amount_sum,0.00037576983929705766,0.0002421641214024551
customer_active_days,0.00036543098369457017,0.0002657352861737609
region_code,0.00034655438534336724,0.0001697329136646335
total_loan_balance,0.0003111870783953252,0.0004921402259074267
biz_ratio_Offline,0.0002905483523169661,0.0004216035257121063
txn_amount_min,0.0002140907218205257,0.00027862775344482523
amount_per_active_day,0.0002009449370951488,0.00023974035780969063
txn_per_active_day,0.0001968437017656921,0.0003242571731709619
txn_count,0.00018992774028798732,0.0002085663827137691
installment_ratio,0.0001014315026645507,0.0003237862391085363
monthly_amount_std,8.326443361938995e-05,0.0003836509719655301
recent_3m_count_sum,7.294896909295633e-05,0.00022626348821012747
txn_amount_mean,6.884773376336639e-05,0.00037204815497290803
income_group,6.489464191536954e-05,0.0003492748744592659
txn_amount_sum,5.763561132263728e-05,0.00026569289992703143
age,2.8661865154488986e-05,0.0006942530097004098
item_category_nunique,2.4763352483847533e-05,4.819444738173072e-06
recency_days,8.662495154143635e-06,8.288915070389182e-05
gender,5.37994748550652e-06,0.00017316971061042685
active_months,5.03687837043465e-06,7.292544671864151e-05
biz_type_nunique,0.0,0.0
all_month_amount_sum,0.0,0.0
all_month_count_sum,0.0,0.0
is_married,-1.0448013957287117e-05,5.719418640103607e-05
fin_overdue_days,-1.9601721707984686e-05,1.4797316220241936e-05
days_since_join,-6.348338032859945e-05,0.00045502289668906325
biz_ratio_Online,-6.736629894856793e-05,3.0380526685883065e-05
avg_gap_days,-9.844524195889992e-05,0.0003878933777969002
monthly_count_mean,-0.0001332589601076295,0.0004896504689213381
txn_amount_std,-0.00016141401861489158,0.0001817828486664938
monthly_amount_mean,-0.00017476252599919474,0.00030647533688515986
num_active_cards,-0.0001976078102491119,8.492638831781706e-05
prefer_category,-0.0002217006185535997,0.0002284810622624061
cat_ratio_Fashion,-0.00023166521693973596,0.00046328147879597765
cat_ratio_Grocery,-0.00025044825098685664,0.00022953019471032597
txn_amount_trend,-0.0002728880899190766,0.00041019161297097044
cat_ratio_Beauty,-0.0002943533006835253,0.00024592269155900687
recent_3m_count_ratio,-0.00032132321133899745,0.0003517326621644736
cat_ratio_Home,-0.0003312176364970609,0.0002408275043957263
txn_amount_max,-0.00045869120380142013,0.0003067489924222568
std_gap_days,-0.0005926908813164821,0.00015562562572497498
