iter	Passed	Remaining
397	21187	138514
398	21230	138398
399	21280	138320
400	21336	138289
401	21383	138192
402	21428	138085
403	21475	137996
404	21521	137895
405	21570	137815
406	21617	137727
407	21677	137717
408	21726	137633
409	21802	137728
410	21854	137667
411	21901	137577
412	21949	137488
413	21999	137415
414	22059	137408
415	22115	137372
416	22162	137278
417	22209	137186
418	22256	137099
419	22303	137007
420	22350	136914
421	22394	136810
422	22443	136728
423	22490	136642
424	22538	136555
425	22584	136461
426	22631	136372
427	22682	136305
428	22729	136216
429	22771	136101
430	22818	136009
431	22864	135919
432	22908	135813
433	22954	135718
434	22998	135611
435	23047	135535
436	23092	135434
437	23137	135341
438	23181	135235
439	23243	135232
440	23290	135147
441	23337	135058
442	23384	134978
443	23429	134880
444	23491	134880
445	23538	134792
446	23585	134706
447	23633	134628
448	23681	134545
449	23735	134501
450	23781	134409
451	23839	134389
452	23887	134305
453	23933	134218
454	23979	134128
455	24027	134048
456	24078	133984
457	24125	133899
458	24171	133812
459	24220	133741
460	24269	133667
461	24324	133628
462	24377	133577
463	24430	133522
464	24476	133435
465	24523	133350
466	24568	133261
467	24614	133171
468	24660	133084
469	24710	133015
470	24758	132939
471	24807	132867
472	24853	132781
473	24899	132692
474	24945	132606
475	24997	132547
476	25041	132453
477	25087	132363
478	25133	132277
479	25179	132194
480	25225	132106
481	25273	132028
482	25317	131935
483	25364	131850
484	25409	131762
485	25456	131681
486	25502	131596
487	25550	131523
488	25599	131450
489	25649	131386
490	25694	131300
491	25741	131216
492	25793	131163
493	25839	131082
494	25885	130994
495	25930	130909
496	25974	130814
497	26035	130803
498	26081	130719
499	26127	130639
500	26176	130568
501	26234	130545
502	26281	130468
503	26325	130375
504	26394	130403
505	26443	130336
506	26493	130274
507	26545	130219
508	26597	130164
509	26648	130105
510	26696	130032
511	26744	129963
512	26792	129887
513	26839	129809
514	26884	129721
515	26927	129629
516	26972	129539
517	27017	129452
518	27062	129367
519	27107	129283
520	27150	129186
521	27194	129096
522	27242	129024
523	27287	128936
524	27349	128934
525	27395	128854
526	27444	128787
527	27491	128708
528	27537	128630
529	27593	128596
530	27647	128551
531	27701	128509
532	27747	128430
533	27792	128346
534	27837	128260
535	27894	128230
536	27935	128127
537	27975	128020
538	28017	127925
539	28063	127843
540	28107	127757
541	28155	127687
542	28205	127627
543	28253	127555
544	28308	127519
545	28354	127440
546	28400	127359
547	28448	127293
548	28497	127226
549	28543	127148
550	28594	127092
551	28645	127034
552	28694	126971
553	28740	126892
554	28795	126854
555	28850	126817
556	28894	126733
557	28936	126633
558	28980	126547
559	29024	126464
560	29069	126381
561	29116	126309
562	29163	126235
563	29208	126155
564	29254	126080
565	29310	126044
566	29355	125964
567	29405	125904
568	29453	125837
569	29500	125763
570	29546	125688
571	29595	125624
572	29642	125552
573	29687	125474
574	29733	125396
575	29776	125308
576	29820	125225
577	29864	125141
578	29907	125054
579	29953	124979
580	29997	124896
581	30043	124819
582	30098	124784
583	30147	124720
584	30195	124651
585	30242	124580
586	30288	124507
587	30336	124441
588	30382	124365
589	30431	124303
590	30476	124228
591	30522	124152
592	30568	124077
593	30614	124003
594	30661	123932
595	30723	123923
596	30776	123878
597	30826	123821
598	30871	123745
599	30916	123666
600	30967	123611
601	31029	123603
602	31080	123548
603	31124	123469
